seconds,lat_1,lon_1,dbe_1,dbn_1,dbu_1,lat_2,lon_2,dbe_2,dbn_2,dbu_2,lat_3,lon_3,dbe_3,dbn_3,dbu_3,lat_4,lon_4,dbe_4,dbn_4,dbu_4,sat_lat,sat_lon,dbe_measured_1,dbn_measured_1,dbu_measured_1,cov_ee_1,cov_nn_1,cov_uu_1,cov_en_1,cov_eu_1,cov_nu_1,dbe_measured_2,dbn_measured_2,dbu_measured_2,cov_ee_2,cov_nn_2,cov_uu_2,cov_en_2,cov_eu_2,cov_nu_2,dbe_measured_3,dbn_measured_3,dbu_measured_3,cov_ee_3,cov_nn_3,cov_uu_3,cov_en_3,cov_eu_3,cov_nu_3,dbe_measured_4,dbn_measured_4,dbu_measured_4,cov_ee_4,cov_nn_4,cov_uu_4,cov_en_4,cov_eu_4,cov_nu_4
0,61.91614351410186,329.2662153502547,-4.423861118682067,44.46968799955384,-54.53575,63.96788858867569,338.25284719828426,-63.42232156253635,57.620252840375954,-75.98942,64.4671292007754,341.20022466442555,-50.20314856334821,28.071191752361603,-87.87006,65.1636491878818,346.3520092853236,13.838159552104825,42.065047312421235,-81.25683,63.79025719987012,338.29561663973004,-296.487949150256,-126.95766016907744,-106.13540748512293,59989.66255927408,50154.905988372455,12255.854215469357,3736.056277179674,-18931.168462515492,3649.3984520120766,-198.4158625049469,376.1301499721613,-135.11532765421197,262873.30189279583,477385.8731414458,21409.21019511808,41168.810016391115,-49669.51870649997,11574.170887660113,-85.87584778165292,378.5532526807385,-109.83147597253345,147646.14344868247,117864.75775839743,15367.734805163913,11327.68614452296,-25748.6183886651,2239.0172756228044,236.4116423721324,339.5469935946096,-152.33393262062492,62588.92932781558,68034.16787254036,6576.047386415853,11158.240189711685,-4652.468633525242,2079.8640632631705
2,62.021171049435864,329.13298254409756,-3.5426097484811763,47.46783505692863,-58.54335,64.08081774934844,338.1456144665092,-66.85725523321378,61.03373666504263,-76.91281,64.58202058474497,341.1037407558912,-52.41266466414349,28.119117165418093,-90.62601,65.2812065409149,346.2764036488608,17.802646625248638,44.4282465347726,-84.997925,63.90346298111736,338.1888389998569,91.91835317075319,-66.66658536819953,-233.81071856992833,59853.859343203425,49973.527671192845,12156.205945129714,3707.5445165209103,-18811.33909628391,3641.8670049784982,-60.34971164057189,-28.032328774018573,-16.665196780766212,264567.2275507391,480682.809108152,21300.937638014948,41634.4772239241,-49695.757004780666,11582.302086864323,379.1119963338207,44.14653698365899,-38.75623705821785,147560.7572478027,117474.3476356288,15259.217256924427,11169.009429613066,-25582.336757770914,2245.5337372400923,-60.551774071493234,482.50637864762666,88.07625507394482,62418.498323364496,67773.11954532377,6533.804487852775,11137.986768873636,-4576.503690101062,2060.9980956263494
4,62.127524772225186,328.99700575166815,-2.383878273479664,50.20889473521934,-62.828613,64.19366945159499,338.03761108665606,-70.6927613639076,64.7469645385658,-77.52715,64.69637193357052,341.00692362889686,-54.81945595849426,28.22800055282418,-93.27787,65.39741137624925,346.20109431481524,22.568869269478885,48.65722713244698,-88.89932,64.01659316221131,338.081269450111,-582.5431069559,-2.060855829888446,15.817753072214924,59717.85221812477,49793.85765631599,12056.682535259364,3683.702495603283,-18691.734269679277,3631.260536441914,-225.1339615082448,-648.5169304148601,-64.2057200255444,266295.5784083795,484032.7616823204,21193.67973664739,42111.450209748094,-49721.59874723615,11595.95625598252,-642.6103812306677,165.30359054241654,1.421367778962606,147429.02738164514,117080.25918609771,15150.062443701601,11016.732841721312,-25408.973399948933,2249.221046738962,-247.68632308942745,-1.8033885541721542,-206.89919891417222,62241.65739813683,67520.2556149723,6491.953029482724,11116.111788758479,-4500.9945113001,2044.4488440940243
6,62.23297185903086,328.8611118605283,-1.3970732596540563,53.58288062135438,-67.159966,64.3064388443675,337.92878725610916,-75.2511077486046,68.09423066218461,-78.55441,64.810907365021,340.9091641088363,-57.01775850211573,27.885584727879266,-97.37097,65.51428567422245,346.1247455151538,27.47588759219793,52.71887821391825,-93.11547,64.12965387996022,337.9728915299264,325.99687766905026,-34.3518937396767,-59.87097203558293,59581.781723493375,49614.47305166416,11958.721617902485,3656.4398755250027,-18573.10375669525,3622.7986468065446,387.45786419608305,-498.681651926016,-168.9045382755223,268031.09584043064,487410.2276868126,21087.4406438689,42587.6601075495,-49753.31349436283,11596.473164509483,-307.93865042978103,-28.21788120117324,13.78962768186611,147315.7779677387,116690.86760389058,15043.068185376915,10858.478871444548,-25241.36617181902,2252.626432446554,295.78584299285114,-253.32737239497564,-198.04627095140265,62070.01528725877,67264.32860656017,6450.655596585004,11095.345577288857,-4426.525434643672,2026.367786277526
8,62.33846872856424,328.7239923685765,-0.7624851331902011,57.97888059937487,-71.560104,64.41913881174244,337.8191333626111,-79.995613378188,71.37300382880547,-79.8464,64.92534121060383,340.81071937687244,-59.482173174431345,27.79073182242336,-102.446175,65.6309617336091,346.0479620615741,31.705622291402054,56.764363566140595,-97.21518,64.24264089625783,337.86369096695915,-173.23620640577246,228.97988410365207,34.17364576637585,59446.069875772446,49435.80573445895,11861.478007233572,3629.508843065219,-18454.561499170355,3614.6428713163496,66.64690513993098,751.2464259356057,81.52788553607041,269810.25025257294,490850.44508622633,20982.79397564972,43079.1458636101,-49785.24451822876,11606.689707309388,-351.1883568806265,511.07155441337505,-19.93738380232414,147194.65893440373,116300.36167229898,14936.429258255474,10700.373279067753,-25070.79108223346,2257.615528227691,-223.44191225379262,272.9940705873143,-131.38854738658426,61897.87231902603,67009.32342511874,6409.870540783562,11074.126067246274,-4351.956548684706,2009.3388052570924
10,62.44148174403591,328.5890600706419,-0.5206311043383293,62.60404599922438,-75.59085,64.53175091267403,337.7086387443768,-85.16968341715781,75.16796521426403,-80.62829,65.04047699558618,340.7108066019502,-61.943289667322645,27.43745020920549,-107.60826,65.74972879546782,345.96915215736055,36.82395662943693,60.492844141379635,-102.02992,64.35555531266695,337.75365209045367,-299.2758886834302,7.214876112963344,-126.8057661407459,59310.27352358747,49257.2757531054,11766.897175272394,3593.690382134526,-18337.78468891604,3611.9561583161467,-116.03947735013483,-295.51913097043564,-78.43157101351355,271599.205571615,494319.58454468555,20878.370768107663,43572.630160600595,-49817.78558578229,11612.379698145474,344.4986316891793,536.7039240279487,-277.65461100691505,147139.05538591024,115925.56399195036,14833.998001769703,10528.968876218702,-24916.66223825929,2262.066454404354,412.27621887704646,107.78332148737891,-24.864326302272616,61739.35056409415,66743.68870061924,6369.734109488212,11055.90216570456,-4279.308483238988,1987.5697679034338
12,62.546214479845915,328.45076978558944,0.05513962438942214,67.01376357727004,-80.06419,64.64429274791712,337.5972922810303,-90.31068028534001,79.12740834804427,-81.43952,65.15494370301616,340.61065902340124,-65.00989106967535,27.44159096710477,-112.52333,65.86678088809903,345.89087416170776,40.14203346554295,65.97893259552292,-104.62257,64.46839172016008,337.6427788617397,107.83364671715864,346.4813688345099,-164.58213289654603,59174.63468408665,49079.79531862374,11671.91426934767,3563.9377927616224,-18220.570498007055,3605.700095713109,724.0152497066462,208.93431282673893,-139.03301938900918,273419.6506304542,497833.87210664083,20773.755502425207,44078.61080993027,-49845.831189077784,11628.066660838707,-495.96164231719246,-243.27458294095786,-232.38236975335215,147026.43130455658,115540.11357404888,14729.553257267436,10365.470051381692,-24747.104353730327,2268.621496506753,119.98544750888986,81.88803435400406,-10.072365145310052,61573.03295038781,66487.35941461439,6330.0092826691,11035.534938726343,-4206.100619830138,1969.5721258796166
14,62.65094497003158,328.31114143230246,0.16821843204928139,71.78222723942476,-84.16772,64.75674162627818,337.48494833341283,-96.47575693509754,83.44262668994111,-82.14132,65.26928026589579,340.50962117468026,-68.0350849503904,27.36334106774359,-118.212036,65.98363113322706,345.8118854920705,43.94581527754461,71.4284789246542,-107.75332,64.58113467071206,337.53089715425733,191.74468810703343,321.1459029360291,-22.860682511024567,59039.4682282655,48902.77984993378,11577.972085424946,3534.2756147454065,-18104.597560466627,3598.8860654197656,1838.2642287039027,-102.09618189880022,70.43319125470914,275266.2314197893,501406.79689050064,20671.901463676077,44585.97677940506,-49881.1743407671,11640.238245878607,358.669575533604,-650.8915183936369,-179.25384197658883,146906.4614989051,115156.80177236277,14626.506959993823,10201.526254521235,-24580.653924915583,2272.083927955874,-20.34550963255966,-46.218566651644736,-73.1907915742573,61405.98445457226,66232.49480224124,6290.656979498631,11015.080545682224,-4134.510489098811,1950.8803190444748
16,62.76151821171925,328.16276880949056,-0.16125970080102617,77.83455528696167,-88.533936,64.86912796717262,337.37196295184134,-104.44917480200884,87.60436623633176,-84.01909,65.38161271243838,340.40979422777946,-71.71919632198369,28.69158189545629,-126.153824,66.09506685527785,345.73627318748663,47.67336843831046,76.47832831455979,-111.14545,64.69383410889975,337.4183933653919,485.540211911061,76.56140013271342,-160.12872142596765,58900.22123380022,48728.45680466368,11481.415717908914,3524.713665995525,-17988.37055216611,3577.0215783328676,-106.69171046743749,1594.136124717547,86.44830431622668,277130.67282841075,505007.1696914303,20569.56987004837,45093.644796512825,-49916.02787999841,11649.705212509172,-242.9516227408597,-147.5971469231598,-191.47041515733795,146610.70478652118,114742.88726166135,14517.209292966476,10070.432837454695,-24376.73850616711,2273.7725340981146,160.6702051492934,285.7277683021483,-195.80082211951333,61209.085037821504,66006.98630935668,6251.724032621472,10987.915053914103,-4057.926108349388,1946.298961655187
18,62.861145235375595,328.02798756409464,-0.7922878382718928,83.86616086480201,-92.41359,64.98144573062439,337.2581139378187,-112.6210795232075,92.62220410005663,-84.92928,65.49746815733153,340.3059476809616,-75.53494578602742,29.786146198034782,-134.71078,66.21630556648948,345.653308118471,50.71138145405417,81.89497432178864,-114.64089,64.80645691290175,337.3050167274996,-416.08037534178646,305.4165000706026,-54.76027350015908,58766.39582650826,48551.995645511706,11392.256231295049,3477.1020601292375,-17874.285650258236,3583.030434624438,529.8581892692831,-41.60799954264079,-216.85704367877847,279032.9774891582,508675.9171879483,20469.50495353614,45625.85556933858,-49954.88765044469,11658.08543620562,-651.0163469485424,366.3047481746221,-190.2604651867658,146625.011772643,114385.898944702,14421.406699675004,9876.03192220153,-24237.186160479825,2281.5291093000696,72.75695930213392,-29.714517319324763,-96.63386920142173,61069.67602309548,65729.60280754723,6213.46762595875,10972.7841218352,-3990.9175522387977,1917.1062312955587
