seconds,lat_1,lon_1,dbe_1,dbn_1,dbu_1,lat_2,lon_2,dbe_2,dbn_2,dbu_2,lat_3,lon_3,dbe_3,dbn_3,dbu_3,lat_4,lon_4,dbe_4,dbn_4,dbu_4,sat_lat,sat_lon,dbe_measured_1,dbn_measured_1,dbu_measured_1,cov_ee_1,cov_nn_1,cov_uu_1,cov_en_1,cov_eu_1,cov_nu_1,dbe_measured_2,dbn_measured_2,dbu_measured_2,cov_ee_2,cov_nn_2,cov_uu_2,cov_en_2,cov_eu_2,cov_nu_2,dbe_measured_3,dbn_measured_3,dbu_measured_3,cov_ee_3,cov_nn_3,cov_uu_3,cov_en_3,cov_eu_3,cov_nu_3,dbe_measured_4,dbn_measured_4,dbu_measured_4,cov_ee_4,cov_nn_4,cov_uu_4,cov_en_4,cov_eu_4,cov_nu_4
0,70.14066563299446,212.81725605563494,57.29224830344715,-80.09016748712253,-135.06865,73.85190208251854,203.74178586050374,38.33673218705733,-108.61651039952442,-36.58741,74.87099249491733,200.1963929729748,40.19063829965804,-107.06851118186577,-22.264555,76.42851208507356,193.1548044594538,41.84507346207815,-102.2249891004515,0.21643922,73.80260611375486,203.83082191335646,319.4603749629843,-200.40823603066798,-83.09471764907677,30730.135261236428,39004.53381934803,3877.022658081939,653.409038677939,-291.4083061300171,5894.781372706928,211.33015513304258,362.9676407022433,85.4519862174215,3820460.502903276,4319780.860535224,12055.32341004763,1424999.9108428597,-83704.19850813516,70433.96910220379,-134.8308358029942,351.38385439228,134.08204574094026,89844.03633896585,96433.22298356127,7402.014031551926,18813.069026262932,-3114.355580056438,1085.6368232721368,141.07819855574755,92.75847735202034,-62.42986238029017,32244.41390496486,46717.86743825185,4223.015284852496,602.5287478734735,-2763.7398087267643,-3070.7361728581977
2,70.07423937813866,212.51622773103827,57.502165769159404,-78.82904692279949,-137.36192,73.77132376018852,203.41657283111957,38.663049238776345,-108.83598175450173,-37.71951,74.7854533170504,199.86994884309718,40.58444072288457,-107.06192109602597,-23.154604,76.3340286194236,192.83993238471194,41.93153596431384,-101.92566410357163,-0.20743597,73.72165113959208,203.5040184070233,43.36734193427472,-193.30672741746776,-166.57301324423943,30771.3550539934,39042.99607623157,3876.0730109759147,695.5044351649102,-269.57519142068094,5887.7568433171455,687.2686424708554,206.17189870508696,-181.55941699476142,3819511.435808879,4345949.814636079,12065.255240798899,1427284.426099964,-84187.50017959833,70198.60808912691,-185.5847184660956,62.06458092009629,-35.47865999720912,90145.75441581487,96259.78127523545,7407.592817270388,18857.255591344936,-3139.977616480665,1067.1053145518883,515.6405276868621,-215.93543456491096,-12.93197447097748,32274.904568254988,46742.52755798716,4228.329443032706,678.2244526767042,-2790.4803433253583,-3072.2265632887907
4,70.03956425307497,212.35988929631688,57.62767461301402,-78.17557139498862,-138.57759,73.69016529490739,203.09506959055125,38.9962567768886,-109.09574656762173,-38.985676,74.68669233134742,199.50138075001138,41.097188769630755,-107.07572687345846,-24.258558,76.20175209392357,192.41036049887668,41.99589413331325,-101.54773985477237,-0.8547706,73.64010015498596,203.18096225299197,-58.19198229255028,-227.61300347856132,-135.64303643507623,30811.26907235571,39056.02870655403,3864.209817279219,817.2030007616494,-207.44843231633305,5851.714066684427,18.44110916812952,-3233.728808562801,-191.9880390684069,3817046.4220119575,4371273.963926815,12073.42697640201,1428834.391975705,-84595.89211686286,69990.05677746193,-314.63679802506573,206.9545114527663,-71.98639537993094,90992.17819058728,95535.97938871133,7415.279662041855,18962.87781894864,-3185.2474362158846,1055.593748612143,385.7329046112718,-64.92279642436216,-50.588675003156894,32340.355706403025,46749.65669290363,4236.52161877251,964.9695398379371,-2867.9123944880002,-3042.210495580384
6,69.93453117307494,211.90060535326538,58.08771403695261,-76.17878324917949,-142.3101,73.60829304647028,202.77792052949235,39.35969615167111,-109.37186329884977,-40.35573,74.6144625289967,199.23729947436155,41.509253412646665,-107.10084198568667,-25.115242,76.14926033620681,192.24347636962796,42.01295456114329,-101.41535279002966,-1.1626024,73.55784495615116,202.8622402783426,181.8036205209729,-292.32609100739666,-88.39988371484964,30856.793326409508,39124.25860053157,3875.5383814725747,767.3149141677486,-235.27819926425096,5877.030374128294,558.8583152960665,-2099.29381209228,-56.47928290048286,3812632.7415161054,4395269.438896085,12086.331404543002,1429572.1611570143,-85152.25682931775,69656.29631788451,286.2076374629788,-52.56894584874332,-42.45279289310918,90670.49406320193,96008.43569350641,7419.3298416300895,18926.68052973457,-3190.5063714613557,1029.9512664038891,-51.30611200982949,-298.7058573482899,-14.503193266420865,32335.77117116562,46796.589707765386,4239.022362027756,794.5396844462042,-2836.0480505386636,-3079.929019167538
8,69.87199625733291,211.62417450975707,58.42293982437644,-74.99660712237761,-144.56992,73.52685386406569,202.45910618964723,39.749531788477924,-109.65354012573127,-41.746754,74.52620486245542,198.91144137201223,42.05854835617874,-107.10207613546697,-26.139164,76.04859438624922,191.9196522235948,42.02267106336988,-101.15644189366917,-1.7608036,73.47598990719645,202.54192857031177,199.27919696646973,-185.48490226063566,-119.32640784427684,30900.2926136615,39159.41488877398,3873.1319095628496,821.0761244190064,-207.90507834227844,5865.542467314713,-1015.0916703165731,-210.031996091501,-105.08953327413582,3809963.27404113,4421558.294958574,12095.960054741436,1430831.9933146967,-85643.46206435913,69373.81310837512,-333.17896584129113,-906.4961315538393,-91.03752054807048,91050.47468392356,95757.76043887781,7425.711548898978,18970.465093059996,-3221.149164975776,1011.8300029515765,-9.703214134931004,-148.50297982348272,49.77051685220067,32374.88935421955,46819.24927568176,4245.047345865489,899.6976394192642,-2870.0436754315388,-3077.122201902223
10,69.80332140404069,211.32936810570718,58.83022123000033,-73.68147452940767,-147.068,73.44444841057218,202.1459546807233,40.17859247726108,-109.93695639714645,-43.18092,74.43906702384749,198.5990631977334,42.625494725201776,-107.08504440383831,-27.141117,75.95312541799514,191.6217247688408,42.00135426775208,-100.92185467836818,-2.3628345,73.39318771970542,202.22725575980587,114.93730263042039,64.57909676768651,-67.7687041279329,30945.120163887226,39199.0726950138,3872.3335448045223,861.7283329907356,-188.55089609913065,5858.212334708622,-1585.0881946965303,-209.6933322291067,5.6987792464319895,3804279.717478203,4445431.811021342,12107.969080042994,1430984.937173535,-86145.86982024346,69056.16957055745,-58.03163995782067,-602.6071448631097,156.09019021472022,91346.16299870289,95603.32830570007,7432.203684324421,19002.58045846825,-3247.743017754457,994.2192866917769,-65.8532724789154,-180.8113949563271,-65.75765697656982,32410.385097833812,46846.47259642555,4250.864975802445,970.0685519329285,-2896.316760768554,-3079.434774477177
12,69.73456994268277,211.0379899761733,59.19726120867302,-72.160750351651,-149.58229,73.36161968609831,201.83571448272303,40.63423467438924,-110.21163743758609,-44.63645,74.35138277832536,198.2894705362337,43.20745836472569,-107.04665130508053,-28.120249,75.85683918470855,191.32636780758912,41.9613761234909,-100.69036792058607,-2.995687,73.30995101585823,201.9155303195128,53.78632499681748,3.007843550750609,-137.88063449248722,30991.27991727054,39238.71754788187,3871.536693682656,903.3587672335533,-168.95281354938987,5850.694222610536,2504.326046730094,382.4611729787324,30.277253441366987,3797378.8751731827,4468762.791078556,12118.396422154921,1430583.6964383537,-86607.91302767076,68731.09306337984,-331.9130876696954,-14.821514236194611,-65.5865955791553,91651.14247768589,95444.05310012275,7438.751867083798,19032.489065867252,-3277.889763289122,975.2258798051123,-59.87160106372902,-312.6978258039463,-104.19979306213814,32447.560465084687,46874.11698487643,4256.794774379591,1042.1074902371006,-2922.4714457350715,-3081.0561286570314
14,69.66484907083681,210.74658311668807,59.48534713770376,-70.26942403181006,-152.09612,73.27834912067956,201.52839824756745,41.12305840196139,-110.48287711093013,-46.126022,74.2634499278249,197.98379586906552,43.82424709197902,-106.97431499168621,-29.06199,75.76080813343036,191.03632345274505,41.88768610542625,-100.47594487656139,-3.6547136,73.226268391079,201.60674442627715,159.23143173447065,-65.07423550257639,-116.54873445594849,31037.98261967842,39278.912251408045,3871.0982370669153,943.6123902399324,-149.83163427831107,5843.739841859061,-2135.696622082556,-984.2470319021479,13.023423007472815,3789457.0222976753,4491319.221493571,12127.620773158756,1429605.9894510799,-86968.68517576961,68480.41803845565,221.17048794586862,-127.21441282070148,-7.40629147686316,91945.56465432419,95298.25875174585,7445.702084257814,19059.760970106465,-3306.299286624999,957.5148162785287,315.0429446608459,287.2718339890049,74.57131178909263,32485.520956342345,46902.105064600655,4262.787053496802,1110.16571544732,-2948.502388615503,-3083.577800983679
16,69.5954975634968,210.46040662937415,59.814284786657424,-68.39589398147068,-154.64923,73.19467950510229,201.22393669935346,41.636398770459,-110.7340435516717,-47.810204,74.17482606520328,197.68022803455872,44.504968046328536,-106.91373385296774,-30.094662,75.66350178258149,190.74719984723367,41.824786847096085,-100.2437704219541,-4.355545,73.14216181259546,201.30085565912665,-166.50824399568685,197.44848766563365,-137.23919494157997,31085.899725993306,39318.77868030942,3870.39241143727,985.827937981654,-130.17153173978815,5835.961082828622,2624.0969333335975,-149.72725736887196,-199.28208515612866,3780348.441456857,4513157.9479774665,12141.746109504998,1428044.11172346,-87563.5123091467,68011.78671467981,-514.0654513855682,-68.22902254315873,64.31200449616146,92254.81900149134,95141.86159634462,7452.735840832617,19085.5361845105,-3337.0884893777516,939.2085725962262,243.9043696744039,-61.5574951340083,-15.247914161982635,32525.58862553909,46930.26007043746,4269.026270534071,1182.8805082310341,-2976.0421355731014,-3085.5831582474007
18,69.52537005930435,210.17473781181016,60.197978961913684,-66.49405434098249,-157.2429,73.11057501775467,200.9223313123774,42.21947992665147,-110.93102407380083,-49.67118,74.08592982945153,197.38028985094044,45.224773201228565,-106.8255801363511,-31.097672,75.5662597049376,190.46279600318564,42.65054773528332,-99.71403089291417,-5.430024,73.05763372283808,200.9978294178438,332.66767568833603,187.23254305957232,-198.78119957422913,31134.55084093206,39359.21905714953,3869.6279546698647,1027.0418465980545,-112.00950820960195,5827.922978678961,432.07375383279793,2321.8922424130074,73.17263508260088,3769888.5162181156,4534195.539614508,12152.783989028982,1425905.248157356,-87963.74454067624,67689.3334343323,123.73701499538352,-146.19322485784747,-20.57037897525551,92559.81230826482,94993.86012847257,7460.002135294535,19107.703931669956,-3368.9480870284583,920.5034262707267,504.9696094704297,-81.5483843023534,27.800564623701696,32566.672675170856,46958.81001171173,4275.359824777855,1252.6832338871432,-3003.2212279687124,-3088.1343320528854
